日期,台股市值,台股成本,台股損益,台股損益率,美股(TWD) 市值,美股(TWD) 成本,美股(TWD) 損益,美股(TWD) 損益率,美股(USD) 市值,美股(USD) 成本,美股(USD) 損益,美股(USD) 損益率,總市值,總成本,總損益,總損益率,,,,,,,,,,,,,,
2025/02/21,102112,100701,1411,1.40%,533777.4911,534142.3889,-364.8978006,-0.07%,16290.84097,16255.56428,35.27668656,0.22%,635889.8411,634843.4789,1046.362199,0.16%,,,,,,,,,,,,,,
2025/02/22,102112,100701,1411,1.40%,555166.7191,567339.1468,-12172.42766,-2.15%,16932.00925,17267.16463,-335.1553853,-1.94%,657279.0691,668040.2368,-10761.16766,-1.61%,,,,,,,,,,,,,,
2025/02/25,135785,135242,543,0.40%,656080.846,677789.2577,-21708.41169,-3.20%,20051.67701,20631.01857,-579.3415579,-2.81%,791865.846,813030.8277,-21164.98169,-2.60%,,,,,,,,,,,,,,
2025/02/26,144532,144949,-417,-0.29%,701260.8497,734743.3077,-33482.45805,-4.56%,21381.66768,22365.60357,-983.9358895,-4.40%,845792.8497,879692.3777,-33899.52805,-3.85%,,,,,,,,,,,,,,
2025/02/27,144532,144949,-417,-0.29%,723592.2892,755499.1349,-31906.84564,-4.22%,22076.62493,23015.87697,-939.252044,-4.08%,868124.2892,900448.2049,-32323.91564,-3.59%,,,,,,,,,,,,,,
2025/02/28,143052,144949,-1897,-1.31%,711121.8706,758287.301,-47165.43041,-6.22%,21583.48745,23100.87697,-1517.389524,-6.57%,854173.4706,903236.371,-49062.90041,-5.43%,,,,,,,,,,,,,,
2025/03/01,143052,144949,-1897,-1.31%,750796.7775,784044.052,-33247.27452,-4.24%,22806.70648,23886.09697,-1079.390485,-4.52%,893848.3775,928993.122,-35144.74452,-3.78%,,,,,,,,,,,,,,
2025/03/04,173204,177919,-4715,-2.65%,789313.0851,841249.6017,-51936.51661,-6.17%,23989.31636,25630.06467,-1640.748309,-6.40%,962517.1851,1019168.422,-56651.23661,-5.56%,,,,,,,,,,,,,,
2025/03/05,173468,177919,-4451,-2.50%,812048.5807,871269.2699,-59220.68918,-6.80%,24732.31854,26545.24391,-1812.925374,-6.83%,985516.7807,1049188.09,-63671.30918,-6.07%,,,,,,,,,,,,,,
2025/03/06,173843,177919,-4075,-2.29%,827245.915,871269.2699,-44023.35487,-5.05%,25194.65123,26545.24391,-1350.592683,-5.09%,1001089.315,1049188.09,-48098.77487,-4.58%,,,,,,,,,,,,,,
2025/03/07,173058,177919,-4861,-2.73%,822706.2074,898986.4531,-76280.24566,-8.49%,25025.43939,27390.22962,-2364.790229,-8.63%,995764.0074,1076905.273,-81141.26566,-7.53%,,,,,,,,,,,,,,
2025/03/08,171394,177919,-6525,-3.67%,901624.866,979752.3119,-78127.44593,-7.97%,27453.40923,29852.45662,-2399.047392,-8.04%,1073018.666,1157671.132,-84652.46593,-7.31%,,,,,,,,,,,,,,
2025/03/11,170466,177919,-7453,-4.19%,838915.3166,979752.3119,-140836.9953,-14.37%,25509.26712,29852.45662,-4343.189501,-14.55%,1009380.817,1157671.132,-148290.3153,-12.81%,,,,,,,,,,,,,,
2025/03/12,185723,196049,-10325,-5.27%,850353.2512,980328.098,-129974.8467,-13.26%,25856.19139,29852.45662,-3996.265233,-13.39%,1036076.651,1176376.918,-140300.2667,-11.93%,,,,,,,,,,,,,,
2025/03/13,186856,196554,-9698,-4.93%,916565.698,1024739.046,-108173.3477,-10.56%,27852.2043,31205.42556,-3353.221258,-10.75%,1103421.898,1221293.486,-117871.5877,-9.65%,,,,,,,,,,,,,,
2025/03/14,185325,196554,-11229,-5.71%,903749.4245,1024739.046,-120989.6212,-11.81%,27407.60786,31205.42556,-3797.817706,-12.17%,1089074.634,1221293.486,-132218.8512,-10.83%,,,,,,,,,,,,,,
2025/03/15,184777,196554,-11778,-5.99%,925607.8254,1024739.046,-99131.22024,-9.67%,28098.95952,31205.42556,-3106.466046,-9.95%,1110384.445,1221293.486,-110909.0402,-9.08%,,,,,,,,,,,,,,
